Time,Raw.Pin 17,Raw.Pin 18,Raw.Pin 19,Raw.Pin 20,Raw.Pin 21,Raw.Pin 22,Raw.Pin 23,Raw.Pin 24,Raw.Pin 25,Raw.Pin 26,Raw.Pin 27,Raw.Pin 28,Raw.Pin 29,Raw.Pin 30,Raw.Pin 31,Raw.Pin 32,Voltage.1,Voltage.2,Voltage.3,Voltage.4,Voltage.5,Voltage.6,Voltage.7,Voltage.8,Voltage.9,Voltage.10,Voltage.11,Voltage.12,Voltage.13,Voltage.14,Voltage.15,Voltage.16
s,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
0.034,-0.000305176,0.00152588,0.000610352,0.00274658,0.000915527,0.00244141,0.00244141,0.00366211,0.00152588,0.00183105,0.00152588,0.000610352,0.00183105,0.00335693,0.00152588,0.00183105,0.0157955,0.0150889,0.0133968,0.0130304,0.0117397,0.0172925,0.0114618,0.0127211,0.0159787,0.0182746,0.0160771,0.014137,0.0140715,0.0148305,0.0120106,0.0122642
0.035,0.00244141,0.00183105,-0.000915527,0.000610352,0.00183105,0.00183105,0.00366211,0.00305176,0.000915527,-0.000610352,0.00213623,0.00244141,0.00152588,0.000915527,-0.000610352,0.0012207,0.0145748,0.0131053,0.0126339,0.0130304,0.0135707,0.0165295,0.011767,0.0139418,0.0167416,0.0173591,0.0159245,0.0138318,0.0168181,0.0145253,0.0132314,0.0131798
0.036,0.00305176,0,0.000305176,0.000305176,0.00427246,0.00274658,0.00152588,0,0.00213623,0.00213623,0.000305176,-0.000305176,0.0012207,0.00244141,0.00213623,0.00274658,0.0159481,0.0141734,0.013702,0.0116572,0.0128078,0.0168347,0.0116144,0.014247,0.0170468,0.0178169,0.0157719,0.0150525,0.0151396,0.0145253,0.00895889,0.00921249
0.037,0.00305176,0.000915527,0.00152588,-0.000610352,0.000610352,0.00152588,0.00335693,0.0012207,0.00183105,-0.00305176,0.000305176,0.000305176,0.00518799,-0.000610352,0.000610352,0.00152588,0.0144222,0.0150889,0.0149227,0.0124201,0.0114345,0.0172925,0.0114618,0.0137892,0.0171994,0.0178169,0.0165348,0.0118481,0.0151396,0.0145253,0.0120106,0.0128746
0.038,0.00244141,0.00183105,0.000915527,0.00152588,0.00274658,0.0012207,0.00152588,0.00152588,0.00152588,0.000915527,0.00274658,-0.0012207,0.00335693,0.0012207,0.00396729,0.00213623,0.0153377,0.0150889,0.0121761,0.0134882,0.0117397,0.018208,0.0137506,0.0133315,0.0170468,0.0155281,0.0143986,0.0142895,0.0162078,0.0158986,0.0115529,0.0118065
0.039,0.000305176,0.00152588,0.00152588,-0.000305176,-0.0012207,0.00213623,0.00152588,0.00366211,-0.000915527,0.00213623,0.000610352,0.00183105,0.00244141,0.00152588,0.00152588,0.00213623,0.0153377,0.0155467,0.0135494,0.013183,0.0102138,0.0165295,0.0106989,0.0133315,0.0158261,0.0153755,0.0159245,0.0139844,0.0146819,0.0166616,0.0112477,0.0125694
0.04,0.0012207,0,0.000610352,0.0012207,0.00183105,0.00305176,0.00183105,0.000915527,0.00183105,0.00244141,0,0.00183105,0.00183105,-0.000305176,0.00152588,0.0012207,0.0150325,0.0167674,0.013702,0.0118097,0.0100612,0.0151562,0.0119196,0.0137892,0.017352,0.0178169,0.0156193,0.0136792,0.0165129,0.0148305,0.0115529,0.0130272
0.041,0.00152588,0,0.00335693,-0.00152588,0.00244141,0.000915527,0.00274658,0.0012207,0.000915527,0.00152588,-0.0012207,-0.000305176,0.00335693,0.00305176,0.00183105,0,0.0150325,0.0144786,0.0127864,0.013183,0.0115871,0.0168347,0.0123773,0.0111952,0.0170468,0.0173591,0.0166874,0.0127637,0.0159026,0.0145253,0.0112477,0.0142479
0.042,0.00366211,0.000610352,0.000610352,0.000610352,0.00152588,0.00152588,0.00305176,0.000915527,0.0012207,0.00152588,0.00183105,0.0012207,0.00244141,-0.000915527,0.00152588,0,0.0135067,0.0152415,0.0130916,0.0144037,0.0111293,0.0165295,0.0116144,0.0137892,0.016589,0.0176643,0.0145512,0.0135266,0.0160552,0.0146779,0.0104848,0.0119591
0.043,0.00305176,0.00152588,0.00244141,0.000610352,0.00274658,0.00274658,0.00244141,0.00335693,0.00335693,0.000305176,0.0012207,-0.000610352,0.00244141,0.00152588,0.00366211,0,0.0156429,0.0158519,0.0115657,0.0133356,0.0112819,0.0174451,0.0113092,0.0145522,0.0159787,0.0172065,0.0182133,0.0138318,0.0155974,0.0123891,0.010027,0.0110435
